Año;Mes;Moneda;Partida;Nombre Partida;Subtítulo;Nombre Subtítulo;Ejecución de Mayo;Ejecución a Mayo
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;08;OTROS INGRESOS CORRIENTES;46;269
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;09;APORTE FISCAL;8.956;101.357
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;10;VENTA DE ACTIVOS NO FINANCIEROS;1;1
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;11;VENTA DE ACTIVOS FINANCIEROS;0;1.649
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;21;GASTOS EN PERSONAL;6.696;34.094
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;22;BIENES Y SERVICIOS DE CONSUMO;2.071;13.786
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;23;PRESTACIONES DE SEGURIDAD SOCIAL;1;33
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;24;TRANSFERENCIAS CORRIENTES;941;16.226
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;31;565
2026;Mayo;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;31;INICIATIVAS DE INVERSIÓN;0;8
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;08;OTROS INGRESOS CORRIENTES;1;61
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;09;APORTE FISCAL;6.415;50.312
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;11;VENTA DE ACTIVOS FINANCIEROS;0;7.067
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;12;RECUPERACIÓN DE PRÉSTAMOS;68;924
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;21;GASTOS EN PERSONAL;2.868;14.156
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;22;BIENES Y SERVICIOS DE CONSUMO;3.961;17.186
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;23;PRESTACIONES DE SEGURIDAD SOCIAL;1;242
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;24;TRANSFERENCIAS CORRIENTES;16;13.350
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;25;INTEGROS AL FISCO;0;2.254
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;32;PRÉSTAMOS;25;246
2026;Mayo;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;34;SERVICIO DE LA DEUDA;0;4.775
2026;Mayo;DOLARES;50;TESORO PÚBLICO;01;IMPUESTOS;31.173;162.353
2026;Mayo;DOLARES;50;TESORO PÚBLICO;05;TRANSFERENCIAS CORRIENTES;0;289.946
2026;Mayo;DOLARES;50;TESORO PÚBLICO;06;RENTAS DE LA PROPIEDAD;242.675;376.511
2026;Mayo;DOLARES;50;TESORO PÚBLICO;07;INGRESOS DE OPERACIÓN;160;911
2026;Mayo;DOLARES;50;TESORO PÚBLICO;08;OTROS INGRESOS CORRIENTES;552;356.138
2026;Mayo;DOLARES;50;TESORO PÚBLICO;11;VENTA DE ACTIVOS FINANCIEROS;-1.368.928;571.715
2026;Mayo;DOLARES;50;TESORO PÚBLICO;14;ENDEUDAMIENTO;0;4.334.167
2026;Mayo;DOLARES;50;TESORO PÚBLICO;22;BIENES Y SERVICIOS DE CONSUMO;4.865;14.107
2026;Mayo;DOLARES;50;TESORO PÚBLICO;24;TRANSFERENCIAS CORRIENTES;48.783;221.797
2026;Mayo;DOLARES;50;TESORO PÚBLICO;27;APORTE FISCAL LIBRE;15.371;151.794
2026;Mayo;DOLARES;50;TESORO PÚBLICO;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;726.041;2.910.409
2026;Mayo;DOLARES;50;TESORO PÚBLICO;34;SERVICIO DE LA DEUDA;104.156;2.553.227
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;05;TRANSFERENCIAS CORRIENTES;22.976;83.650
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;08;OTROS INGRESOS CORRIENTES;27.049;135.520
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;09;APORTE FISCAL;1.971.808;10.963.499
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;12;RECUPERACIÓN DE PRÉSTAMOS;-258;1.424.763
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;21;GASTOS EN PERSONAL;809.653;4.747.936
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;22;BIENES Y SERVICIOS DE CONSUMO;434.706;2.793.089
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;24;TRANSFERENCIAS CORRIENTES;368.997;2.249.920
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;25;INTEGROS AL FISCO;0;13
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;321;39.590
2026;Mayo;PESOS;01;PRESIDENCIA DE LA REPÚBLICA;34;SERVICIO DE LA DEUDA;0;905.520
2026;Mayo;PESOS;02;CONGRESO NACIONAL;05;TRANSFERENCIAS CORRIENTES;6.451;20.036
2026;Mayo;PESOS;02;CONGRESO NACIONAL;08;OTROS INGRESOS CORRIENTES;99.843;520.891
2026;Mayo;PESOS;02;CONGRESO NACIONAL;09;APORTE FISCAL;13.542.072;76.580.413
2026;Mayo;PESOS;02;CONGRESO NACIONAL;12;RECUPERACIÓN DE PRÉSTAMOS;0;733.555
2026;Mayo;PESOS;02;CONGRESO NACIONAL;21;GASTOS EN PERSONAL;6.706.378;36.794.477
2026;Mayo;PESOS;02;CONGRESO NACIONAL;22;BIENES Y SERVICIOS DE CONSUMO;1.369.780;8.180.798
2026;Mayo;PESOS;02;CONGRESO NACIONAL;23;PRESTACIONES DE SEGURIDAD SOCIAL;35.510;5.039.974
2026;Mayo;PESOS;02;CONGRESO NACIONAL;24;TRANSFERENCIAS CORRIENTES;4.238.125;21.472.782
2026;Mayo;PESOS;02;CONGRESO NACIONAL;25;INTEGROS AL FISCO;14.552;66.577
2026;Mayo;PESOS;02;CONGRESO NACIONAL;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;197.150;1.183.504
2026;Mayo;PESOS;02;CONGRESO NACIONAL;34;SERVICIO DE LA DEUDA;0;1.000.410
2026;Mayo;PESOS;03;PODER JUDICIAL;05;TRANSFERENCIAS CORRIENTES;398.833;1.596.737
2026;Mayo;PESOS;03;PODER JUDICIAL;06;RENTAS DE LA PROPIEDAD;28.150;137.161
2026;Mayo;PESOS;03;PODER JUDICIAL;07;INGRESOS DE OPERACIÓN;45;399
2026;Mayo;PESOS;03;PODER JUDICIAL;08;OTROS INGRESOS CORRIENTES;1.702.297;14.315.209
2026;Mayo;PESOS;03;PODER JUDICIAL;09;APORTE FISCAL;45.098.440;342.129.452
2026;Mayo;PESOS;03;PODER JUDICIAL;10;VENTA DE ACTIVOS NO FINANCIEROS;0;1.440
2026;Mayo;PESOS;03;PODER JUDICIAL;12;RECUPERACIÓN DE PRÉSTAMOS;299.763;30.138.277
2026;Mayo;PESOS;03;PODER JUDICIAL;21;GASTOS EN PERSONAL;51.785.515;269.719.419
2026;Mayo;PESOS;03;PODER JUDICIAL;22;BIENES Y SERVICIOS DE CONSUMO;8.179.182;36.125.443
2026;Mayo;PESOS;03;PODER JUDICIAL;24;TRANSFERENCIAS CORRIENTES;6.634.728;12.389.435
2026;Mayo;PESOS;03;PODER JUDICIAL;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;210.368;618.242
2026;Mayo;PESOS;03;PODER JUDICIAL;31;INICIATIVAS DE INVERSIÓN;424.360;5.776.863
2026;Mayo;PESOS;03;PODER JUDICIAL;32;PRÉSTAMOS;2.693;14.659
2026;Mayo;PESOS;03;PODER JUDICIAL;34;SERVICIO DE LA DEUDA;0;44.657.705
2026;Mayo;PESOS;04;CONTRALORÍA GENERAL DE LA REPÚBLICA;05;TRANSFERENCIAS CORRIENTES;66.578;156.373
2026;Mayo;PESOS;04;CONTRALORÍA GENERAL DE LA REPÚBLICA;08;OTROS INGRESOS CORRIENTES;216.737;936.494
2026;Mayo;PESOS;04;CONTRALORÍA GENERAL DE LA REPÚBLICA;09;APORTE FISCAL;7.647.555;52.660.739
2026;Mayo;PESOS;04;CONTRALORÍA GENERAL DE LA REPÚBLICA;12;RECUPERACIÓN DE PRÉSTAMOS;52.685;2.980.865
2026;Mayo;PESOS;04;CONTRALORÍA GENERAL DE LA REPÚBLICA;21;GASTOS EN PERSONAL;7.293.517;42.006.014
